macrozona,viajes_origen,pct_origen,viajes_destino,pct_destino,saldo,ratio_exportacion
La Candelaria,560721,8.64,578475,8.91,-17754,-0.03166280556640468
El Poblado,446255,6.88,444067,6.84,2188,0.004903026296624128
Robledo,331970,5.11,330584,5.09,1386,0.004175076061089858
Belén,330428,5.09,328045,5.05,2383,0.007211858559202005
Laureles-Estadio,296592,4.57,298227,4.59,-1635,-0.005512623401844959
Buenos Aires,260201,4.01,235550,3.63,24651,0.0947382984692603
Manrique,243372,3.75,243652,3.75,-280,-0.0011505021119931627
San Javier,237089,3.65,234376,3.61,2713,0.011442960238560203
Aranjuez,234077,3.61,234036,3.61,41,0.0001751560383976213
Castilla,208450,3.21,208720,3.22,-270,-0.001295274646198129
Doce de Octubre,202835,3.13,198840,3.06,3995,0.019695811866788277
Popular,196083,3.02,183715,2.83,12368,0.06307533034480296
La América,178470,2.75,176290,2.72,2180,0.012214938084832185
Villa Hermosa,148514,2.29,139718,2.15,8796,0.05922673956664018
Guayabal,144787,2.23,143038,2.2,1749,0.012079813795437436
Santa Cruz,110973,1.71,92605,1.43,18368,0.16551773854901644
Corregimiento San Cristóbal,57351,0.88,56937,0.88,414,0.007218705863890778
Corregimiento San Antonio de Prado,51128,0.79,51141,0.79,-13,-0.000254263808480676
Corregimiento Santa Elena,13559,0.21,14748,0.23,-1189,-0.0876908326572756
Corregimiento Altavista,12697,0.2,12577,0.19,120,0.009451051429471528
Corregimiento San Sebastián de Palmitas,1495,0.02,1158,0.02,337,0.2254180602006689
