RANKING,macrozona,CATEGORIA,INDICE,C1,C2,C3,C4,C5,viajes_origen,saldo
1,San Javier,Alto,59.8,6.9,100.0,85.0,28.0,79.0,237089,2713
2,Guayabal,Alto,56.0,7.3,100.0,65.0,7.5,100.0,144787,1749
3,Robledo,Alto,54.5,2.5,100.0,65.0,49.1,56.9,331970,1386
4,Castilla,Alto,54.0,0.0,100.0,65.0,21.6,84.8,208450,-270
5,Belén,Alto,52.0,4.4,100.0,50.0,48.8,57.5,330428,2383
6,La América,Medio,49.9,7.4,100.0,35.0,15.0,92.3,178470,2180
7,Santa Cruz,Medio,46.2,100.0,10.0,85.0,0.0,11.1,110973,18368
8,Laureles-Estadio,Medio,44.9,0.0,100.0,20.0,41.3,64.4,296592,-1635
9,La Candelaria,Medio,40.5,0.0,50.0,65.0,100.0,0.0,560721,-17754
10,Buenos Aires,Medio,39.6,57.2,20.0,65.0,33.2,15.7,260201,24651
11,Doce de Octubre,Medio,38.3,11.9,40.0,85.0,20.5,34.9,202835,3995
12,Popular,Medio,36.2,38.1,10.0,100.0,18.9,9.1,196083,12368
13,Villa Hermosa,Medio,35.2,35.8,20.0,85.0,8.4,20.1,148514,8796
14,Manrique,Bajo,28.7,0.0,20.0,85.0,29.4,15.4,243372,-280
15,Aranjuez,Bajo,24.5,0.1,20.0,65.0,27.4,15.8,234077,41
16,El Poblado,Bajo,19.9,3.0,20.0,10.0,74.6,6.2,446255,2188
